geonameid	name	latitude	longitude	cc	timezone
3832756	Villa Dolores	-31.94504	-65.19025	AR	America/Argentina/Cordoba
3832778	Villa Constitucion	-33.22778	-60.3297	AR	America/Argentina/Cordoba
3832791	Villa Carlos Paz	-31.4183	-64.49008	AR	America/Argentina/Cordoba
3832811	Villa Angela	-27.57679	-60.71114	AR	America/Argentina/Cordoba
3832815	Villa Allende	-31.29368	-64.2977	AR	America/Argentina/Cordoba
3832899	Viedma	-40.81345	-62.99668	AR	America/Argentina/Salta
3832934	Victoria	-32.61841	-60.15478	AR	America/Argentina/Cordoba
3833027	Vera	-29.4593	-60.21261	AR	America/Argentina/Cordoba
3833062	Venado Tuerto	-33.74556	-61.96885	AR	America/Argentina/Cordoba
3833112	Veinticinco de Mayo	-35.43247	-60.17156	AR	America/Argentina/Buenos_Aires
3833367	Ushuaia	-54.81084	-68.31591	AR	America/Argentina/Ushuaia
3833412	Unquillo	-31.23717	-64.31176	AR	America/Argentina/Cordoba
3833794	Tres Isletas	-26.34067	-60.43207	AR	America/Argentina/Cordoba
3833859	Tres Arroyos	-38.37694	-60.27563	AR	America/Argentina/Buenos_Aires
3833883	Trelew	-43.24895	-65.30505	AR	America/Argentina/Catamarca
3834502	Termas de Rio Hondo	-27.49362	-64.85972	AR	America/Argentina/Cordoba
3834601	Tartagal	-22.51682	-63.8056	AR	America/Argentina/Salta
3834813	Tafi Viejo	-26.7333	-65.26146	AR	America/Argentina/Tucuman
3834971	Sunchales	-30.94404	-61.56148	AR	America/Argentina/Cordoba
3835793	Santo Tome	-31.66274	-60.7653	AR	America/Argentina/Cordoba
3835869	Santiago del Estero	-27.79511	-64.26149	AR	America/Argentina/Cordoba
3835994	Santa Rosa	-36.61667	-64.28333	AR	America/Argentina/Salta
3836194	Santa Lucia	-31.54055	-68.49794	AR	America/Argentina/San_Juan
3836277	Santa Fe	-31.64881	-60.70868	AR	America/Argentina/Cordoba
3836564	San Salvador de Jujuy	-24.19457	-65.29712	AR	America/Argentina/Jujuy
3836620	San Ramon de la Nueva Oran	-23.13705	-64.32426	AR	America/Argentina/Salta
3836669	San Rafael	-34.61531	-68.33238	AR	America/Argentina/Mendoza
3836772	San Pedro de Jujuy	-24.23127	-64.86614	AR	America/Argentina/Jujuy
3836846	San Nicolas de los Arroyos	-33.33425	-60.2108	AR	America/Argentina/Buenos_Aires
3836873	San Miguel de Tucuman	-26.82414	-65.2226	AR	America/Argentina/Tucuman
3836951	San Martin de los Andes	-40.15789	-71.35337	AR	America/Argentina/Salta
3836992	San Martin	-33.08338	-68.47312	AR	America/Argentina/Mendoza
3837056	San Luis	-33.29501	-66.33563	AR	America/Argentina/San_Luis
3837124	San Justo	-30.78913	-60.59189	AR	America/Argentina/Cordoba
3837213	San Juan	-31.5375	-68.53639	AR	America/Argentina/San_Juan
3837240	San Jose de Jachal	-30.24162	-68.74662	AR	America/Argentina/San_Juan
3837441	San Jorge	-31.89618	-61.85984	AR	America/Argentina/Cordoba
3837675	San Francisco	-31.42497	-62.08404	AR	America/Argentina/Cordoba
3837702	Catamarca	-28.46957	-65.78524	AR	America/Argentina/Catamarca
3837980	San Antonio Oeste	-40.73193	-64.94769	AR	America/Argentina/Salta
3838233	Salta	-24.7859	-65.41166	AR	America/Argentina/Salta
3838506	Rufino	-34.26827	-62.71262	AR	America/Argentina/Cordoba
3838583	Rosario	-32.94682	-60.63932	AR	America/Argentina/Cordoba
3838793	Rio Tercero	-32.17675	-64.11295	AR	America/Argentina/Cordoba
3838797	Rio Segundo	-31.6501	-63.91165	AR	America/Argentina/Cordoba
3838854	Rio Grande	-53.78773	-67.70975	AR	America/Argentina/Ushuaia
3838859	Rio Gallegos	-51.62261	-69.21813	AR	America/Argentina/Rio_Gallegos
3838874	Rio Cuarto	-33.13044	-64.35272	AR	America/Argentina/Cordoba
3838902	Rio Ceballos	-31.1697	-64.3175	AR	America/Argentina/Cordoba
3839307	Rawson	-43.30016	-65.10228	AR	America/Argentina/Catamarca
3839479	Rafaela	-31.25033	-61.4867	AR	America/Argentina/Cordoba
3839490	Quitilipi	-26.8708	-60.21537	AR	America/Argentina/Cordoba
3839982	Punta Alta	-38.8805	-62.07503	AR	America/Argentina/Buenos_Aires
3840092	Puerto Madryn	-42.76848	-65.03827	AR	America/Argentina/Catamarca
3840300	Presidencia Roque Saenz Pena	-26.79095	-60.44132	AR	America/Argentina/Cordoba
3840860	Pocito	-31.68333	-68.58333	AR	America/Argentina/San_Juan
3840885	Plottier	-38.96667	-68.23333	AR	America/Argentina/Salta
3841490	Pergamino	-33.89101	-60.57462	AR	America/Argentina/Buenos_Aires
3841500	Perez	-32.99835	-60.76791	AR	America/Argentina/Cordoba
3841956	Parana	-31.73271	-60.52897	AR	America/Argentina/Cordoba
3842190	Palpala	-24.25798	-65.21358	AR	America/Argentina/Jujuy
3842670	Olavarria	-36.89384	-60.32319	AR	America/Argentina/Buenos_Aires
3842881	Nueve de Julio	-35.44394	-60.88463	AR	America/Argentina/Buenos_Aires
3843123	Neuquen	-38.95161	-68.0591	AR	America/Argentina/Salta
3843619	Morteros	-30.71066	-62.00714	AR	America/Argentina/Cordoba
3843803	Monteros	-27.16825	-65.49892	AR	America/Argentina/Tucuman
3844421	Mendoza	-32.89084	-68.82717	AR	America/Argentina/Mendoza
3844899	Marcos Juarez	-32.6978	-62.10672	AR	America/Argentina/Cordoba
3845330	Machagai	-26.92617	-60.04852	AR	America/Argentina/Cordoba
3846864	Lincoln	-34.86819	-61.52929	AR	America/Argentina/Buenos_Aires
3846915	Libertador General San Martin	-23.81305	-64.79353	AR	America/Argentina/Jujuy
3848687	Las Brenas	-27.08819	-61.08217	AR	America/Argentina/Cordoba
3848950	La Rioja	-29.41105	-66.85067	AR	America/Argentina/La_Rioja
3851331	La Falda	-31.09321	-64.48448	AR	America/Argentina/Cordoba
3852374	La Calera	-31.34582	-64.33849	AR	America/Argentina/Cordoba
